speed_kmh,ncrit,cg_case,static_margin_percent,alpha_deg,cl,cm_cg,cm_root_c4,cm_section,cd_profile,local_cl_min,local_cl_max,trim_deg,control_extrapolated,status
95.0,6,nominal,5.0,-2.7861208570643927,0.13065560633283105,0.0,0.05055022952889196,-0.01743196939394717,0.007647593057612715,0.013800719508006768,0.2921327247247534,9.335692139397429,True,SCREEN
95.0,6,forward,7.222644376899696,-2.4686161535417757,0.13065560633283102,0.0,0.05345423901615283,-0.012888585453543929,0.007642033448235674,0.014442425902395757,0.28038254529866913,8.41954198861597,True,SCREEN
95.0,10,aft,2.777355623100304,-3.2836807974775954,0.13065560633283105,0.0,0.047646220041631104,-0.023129420018771975,0.007218011106847808,0.01299039642357332,0.312327321040217,11.030101334796935,True,SCREEN
95.0,10,nominal,5.0,-2.9183661296356718,0.13065560633283105,0.0,0.05055022952889196,-0.018317219757372105,0.007288990287692421,0.013709619645213448,0.2986335089490921,9.950678728207814,True,SCREEN
95.0,10,forward,7.222644376899696,-2.5530514617937454,0.13065560633283105,0.0,0.05345423901615283,-0.013505019495972215,0.007359969468537034,0.01442884286685358,0.28493969685796705,8.871256121618687,True,SCREEN
105.0,6,aft,2.777355623100304,-3.4398776805948086,0.10695390903889355,0.0,0.039002914818659515,-0.022842858716421617,0.0076213486386508674,-0.0277645372958707,0.2808632767175968,10.28616597058118,True,SCREEN
105.0,6,nominal,5.0,-3.189877235415746,0.10695390903889354,0.0,0.04138011986378689,-0.0191679362883094,0.007597229028265366,-0.024552422886410994,0.27168242759335504,9.56569568926753,True,SCREEN
105.0,6,forward,7.222644376899696,-2.939876790236683,0.10695390903889354,0.0,0.043757324908914264,-0.015493013860197177,0.007573109417879865,-0.021340308476951276,0.2625015784691132,8.845225407953878,True,SCREEN
105.0,10,aft,2.777355623100304,-3.608727891433288,0.10695390903889333,0.0,0.039002914818659425,-0.02367045558533075,0.007092024623139834,-0.02795808794214814,0.28646685160584917,10.96923880013793,True,SCREEN
105.0,10,nominal,5.0,-3.3312067686019007,0.10695390903889333,0.0,0.041380119863786806,-0.01985630613836143,0.007124059557089158,-0.024539069482350764,0.2763196858303614,10.154871395207186,True,SCREEN
105.0,10,forward,7.222644376899696,-3.0536856457705133,0.10695390903889333,0.0,0.04375732490891418,-0.016042156691392112,0.007156094491038482,-0.021120051022553387,0.2661725200548736,9.34050399027644,True,SCREEN
