source,candidate,station,y_mm,chord_mm,reflex_deg,twist_deg,hinge_xc,te_thickness_mm,hinge_gap_mm,speed_kmh,reynolds,ncrit,deflection_deg_te_down_positive,alpha_deg,cl,cd,cm_c4
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,4.000000,0.4978000,0.0114600,0.0161000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,4.500000,0.5507000,0.0118700,0.0164000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,5.000000,0.6036000,0.0123500,0.0166000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,5.500000,0.6565000,0.0129000,0.0168000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,6.000000,0.7093000,0.0135300,0.0168000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,6.500000,0.7618000,0.0142400,0.0169000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,7.000000,0.8138000,0.0150400,0.0168000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,7.500000,0.8651000,0.0159700,0.0168000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,8.000000,0.9153000,0.0170200,0.0168000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,8.500000,0.9640000,0.0182100,0.0167000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,9.000000,1.0108000,0.0195500,0.0167000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,9.500000,1.0553000,0.0210700,0.0167000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,10.000000,1.0970000,0.0228100,0.0169000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-8.200000,-0.5050000,0.0205100,-0.0443000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-7.700000,-0.4604000,0.0187400,-0.0425000
